,coursecode,hwindex,time,cga,userid,timehandin
0,emia2020,hw1,200,3.6,a,1682000000.0
1,emia2020,hw1,210,3.7,b,1681897564.0
2,emia2020,hw1,220,2.5,c,1682123456.0
3,emia2020,hw1,220,2.6,d,1682111111.0
4,emia2020,hw1,240,3.0,e,168222222.0
5,emia2020,hw1,250,2.4,f,1682111222.0
6,emia2020,hw1,260,2.7,h,1681999999.0
7,emia2020,hw1,260,3.6,i,1681888888.0
8,emia2020,hw1,260,2.7,j,168000222.0
9,emia2020,hw1,260,3.3,k,1681444444.0
10,emia2020,hw1,280,3.4,l,1681224565.0
11,emia2020,hw1,290,2.8,m,1681111111.0
12,emia2020,hw1,290,2.9,n,1681546555.0
13,emia2020,hw1,300,3.1,o,1681789456.0
14,emia2020,hw1,300,3.4,p,1681237564.0
15,emia2020,hw1,340,3.5,q,1682000000.0
16,emia2020,hw1,350,3.2,test1,1682000000.0
17,emia2020,hw1,360,3.9,test2,1682222374.0
18,emia2020,hw1,500,3.4,test3,1682229300.0
19,emia2020,hw1,540,2.6,test4,1682229274.0
20,emia2020,hw2,123,3.2,test1,1682300000.0
21,comp1021,pa1,120,3.2,test1,1678456123.0
22,emia2020,hw2,130,2.5,c,1683300000.0
23,comp1021,pa1,140,2.5,c,1681356123.0
24,EMIA2020,HW2,50,4.0,a,1682610364.819913
